,AUD,BRL,CAD,CHF,CLP,CNY,CZK,DKK,EUR,GBP,HKD,HUF,IDR,ILS,INR,JPY,KRW,MXN,NOK,NZD,PHP,PLN,RUB,SEK,SGD,THB,TRY,TWD,ZAR
2005-05-01,1.3689134807399617,3.989619995183807,1.2142332428813503,0.9535614668932414,713.7395264821135,9.210327673260634,24.9815205043751,5.452849165064667,0.743130838301557,0.5584385210505973,8.989117540736991,243.14858895671838,16621.74644405657,4.077905301574476,95.25672503342312,84.89828727661259,1015.5566338413054,15.040015532958519,6.558895475720708,1.4078966758600984,69.71880068821031,3.369585565624344,64.35050009082833,6.56084270076359,1.6233517553630261,38.69878203857809,4.088878498168861,27.33583126834936,10.527361244949851
2005-06-01,1.3655177860212129,3.928488389941227,1.1978120320803451,0.9907183336626284,719.9665435120445,9.28938002256944,25.757151267094002,5.683242505128285,0.7750241890797768,0.5704815509560232,8.953049334803215,250.21208165076294,16821.398989831283,4.178697955088367,95.15216404410673,86.66449769867658,1029.071127540237,14.845705003538013,6.685891422530725,1.4257881457069126,70.3805144045623,3.424013826954434,65.31206218029482,6.906013605732737,1.6594035759104746,39.651147383951056,4.057708700113812,27.322410069942425,11.212201715262323
2005-07-01,1.3943335684633935,3.8715509124086847,1.1841896242577499,1.0239874725213198,706.9751268489381,9.279965947256775,26.191091231932823,5.789287589764718,0.787708240407281,0.5947313280960126,8.981051433449396,251.28389493298033,17057.165735524733,4.227303253590046,93.89082170327856,89.80570138550058,1055.4392371093747,14.663044763853378,6.826543534246907,1.4896661389758785,71.23846154841466,3.510642920657735,65.73682009050991,7.154895168990116,1.6601682746909592,40.00753720169485,4.031648958126138,27.60810435677086,11.112125556840864
2005-08-01,1.3819773676081593,3.863685358689214,1.1676642193241156,1.0035381648732833,672.6380240145797,9.163666633298885,25.298396971471384,5.702828082322075,0.7734723078754404,0.5820587683778595,9.034695344438912,246.78375047694496,17342.384388939176,4.1907715781180315,94.21272773882855,89.19467932476313,1041.3916212692707,14.689121878159057,6.707331083915845,1.4597030489215739,71.16038731494683,3.415234755459912,65.67416342144985,6.963094321565826,1.6414447981003328,39.42178366847735,4.0437418509937935,27.709880283623576,10.7339329822647
2005-09-01,1.3881208765717423,3.787876174086222,1.146388052541135,1.0128735396572512,661.9559920213809,9.200025688369916,25.482023024556014,5.744479580207055,0.781174983596786,0.5829015721198728,9.097223833705312,251.46016208761603,17876.996097459752,4.26409669017081,95.64481472712284,90.27863068495797,1057.0749991976638,14.96027029186216,6.666893392259379,1.4640557456956171,72.06654026031512,3.3456458746032065,66.05221156246591,7.017677453480014,1.6774232179779858,39.4781145137563,4.034184240571817,28.717161892292907,10.681786924630364
2005-10-01,1.4078194282161351,3.7049154176430594,1.154002457755818,1.0250615900847284,658.5941049931694,9.179040972540845,26.18214509952926,5.876625024213091,0.7964514473711293,0.5980149384930997,9.083764108853426,263.0080075614671,16270.5596905648,4.323653805276228,96.73705624980741,93.52252409350544,1078.5251927730164,15.02594613491076,6.829376662480369,1.4663896783948098,71.33757503104694,3.4054938164101225,66.24705408955101,7.226856669151374,1.6839352377829309,39.29419182004551,4.025417426852308,29.293238242842236,11.09620311388256
2005-11-01,1.393182650840614,3.5810811727628917,1.150269008242527,1.0367629042065636,647.9968670790423,9.126648852907909,26.146191738740225,5.963964707087558,0.8071849091340659,0.602972746164106,9.008478578735888,264.89080939999855,15894.947033247863,4.363063291945533,97.02001716067264,96.06778206102234,1068.3560084936873,14.60623273406357,6.899206689704094,1.4675115768246842,68.87873423029595,3.495304264242579,65.71050476959142,7.434156456878821,1.680914258313978,39.46526944554016,3.94301632968455,29.581837698858376,11.149916994011534
2005-12-01,1.4073486995414488,3.6739173528796867,1.1271901375476556,1.0299816305293898,628.5485622056354,9.044112176178974,25.672103417155157,5.885026974340957,0.7964388153117093,0.5948104074839443,8.958694301218674,263.74407240294346,15481.715100693355,4.269079763252146,96.97277386620107,95.76692885555696,1043.0554326205133,14.363346856927611,6.9728104023556,1.4446573099387146,67.1991000064286,3.3677147645062235,65.03543285791874,7.256749184846234,1.6488893246888723,39.305705583562855,3.8887575124023774,29.28154864171023,10.545740427054854
2006-01-01,1.401076711224487,3.661519576504088,1.1258649818986424,1.0179460236525835,645.3105908808564,8.9857253342016,24.755553393053592,5.838617286309122,0.7896335149219873,0.5944521323724417,9.002579796950991,258.1794510410246,14777.614391812243,4.323869535210005,95.22159674419146,93.80818467347216,1004.5837072432596,14.317724616316255,6.948763210837839,1.4684298479702464,65.9130531543337,3.291417555881102,63.090725125604315,7.128067868676287,1.6242134713379257,38.12651782622375,3.8358887916954876,28.416448773893855,10.168475409771945
2006-02-01,1.4147132008993197,3.473883661078059,1.1220257614329938,1.0381985543550616,648.6997065328595,8.940285117980768,24.871335907974977,5.8789266554140855,0.7998955355942412,0.6003258549220449,9.052185775204137,262.4883942801198,14411.41948978663,4.385248489629219,95.26731874977338,96.276667816795,990.5161735138344,14.20730178759333,7.0187183950196,1.5003767859992811,64.5806371902617,3.3131907922962283,61.71426238050828,7.23040104173299,1.6207052144959957,37.906457291240756,3.8119329545262026,28.99585709537013,10.193885680081983
2006-03-01,1.4466943479662384,3.4622275483886615,1.130319021860538,1.0452390384391397,652.2758824135777,9.05513597709212,25.048960308345006,5.8468369734406815,0.7942144818369709,0.60375810485937,9.06544711882099,270.3645579250093,14292.001491009483,4.373410625646813,96.12340506925948,96.1394911892444,995.6352749003695,14.574069611114739,6.925952592475673,1.5923213646525831,63.99453541565734,3.385846461220632,60.854627081288186,7.216507403972065,1.6273620630880503,37.31694161304846,3.850052784190289,29.346286343443015,10.421918621925888
2006-04-01,1.4415326668394028,3.4476019642343707,1.120321777199671,1.0278897863566896,639.5045982029505,9.091937372266012,24.644157308701658,5.7448383265813066,0.7794106753490659,0.5972827992066017,9.102194604137875,269.9778441424872,14086.427848711375,4.278841590011653,97.14509714540884,96.58741189361497,980.0567861847751,15.107688297291158,6.655648583778544,1.643818830208039,64.58610499714551,3.3680932842757034,60.48857420395744,7.042993047310718,1.611890092648454,36.267589820315806,3.835057853540328,29.051917194382074,10.206573180066842
2006-05-01,1.392155476083299,3.5406024929915785,1.0871306525137123,0.9784219728632725,645.3984067569068,9.144859346047228,23.467274387846764,5.547493967026611,0.7506242334793135,0.564335234370464,9.132732822643472,255.28823410581703,14312.54922608388,4.200830277413911,97.80733328038438,92.22442464117309,970.9243559932734,15.326942910779927,6.405615875832975,1.6197886171505074,65.7442448786412,3.2077045694667095,59.36926323068302,6.787857984824861,1.5979082818164492,36.20914501276344,4.061921072232039,28.440103698504664,10.641714407842437
2006-06-01,1.435021550396596,3.669686804162917,1.0955775651671809,0.9924306336811833,669.6574462536745,9.200074638919348,23.778160791331644,5.598966295400932,0.7586954606099789,0.5720660150589739,9.12465045180921,266.701772182728,14769.11214014904,4.202537720503555,97.78453549101346,94.82922258630963,989.202676566901,15.774261625344014,6.541578674092662,1.6520318204349402,66.77237064150158,3.3528797269826884,59.15842635423481,6.797172482601419,1.6246653394998738,36.59992132121505,4.37411268361996,29.00748546656519,11.730288757576906
2006-07-01,1.4153419925682598,3.5771245878213,1.112987739231059,1.0046418533196857,665.7516636390205,9.236597047167376,23.734368168152358,5.609872015885823,0.7597913351283242,0.5734509747292208,9.138986146321649,271.8072254474108,14362.92057754255,4.172788028362872,98.1278973804681,96.35202448165106,983.485835513738,15.279361715806342,6.626726011663915,1.6593503169728916,65.81621605192488,3.3360240982135396,58.78798112218087,6.797524167496113,1.6099050478198333,36.341635325385646,4.368876280276252,29.164496686169272,11.820221138232776
2006-08-01,1.393847833557545,3.5276915197875325,1.1023242389894887,1.00052406529214,662.7222977981725,9.20695570582358,23.265446064578803,5.565282281714856,0.753005767509523,0.5578162494619517,9.159305846990668,266.3422855518329,14284.334804867227,4.1305291932676536,98.49178441219617,96.0224273527284,990.4549294995361,15.020459547346473,6.618538253704278,1.616936954031639,64.44938902448831,3.222748809748639,58.464835051101105,6.732861294358187,1.6044888767992873,36.023268484695606,4.151975708802309,29.54045514907046,11.567204368906763
2006-09-01,1.3957655214337008,3.5238388866021837,1.1008850322092536,1.008946935523718,659.5127400309242,9.073768745037375,23.625580462738814,5.5544737401062205,0.7542508425535944,0.5563335639193808,9.12141887823685,260.7026397887933,14275.215044425013,4.124399491756702,96.34951275614863,96.48167074082126,974.3026071113977,14.931182980854103,6.753352400027443,1.55219212498015,62.93384514277441,3.277286889887325,58.07996393453366,6.746082592253304,1.601233024331501,35.75982746003247,4.125607126391514,29.662847940196308,12.297300669729994
2006-10-01,1.3909468710996415,3.4603410445388905,1.1091364483260506,1.012975984302617,648.2243146795774,8.978117227746447,23.78375057568733,5.5785007161670475,0.7564748967836975,0.5559783260214796,9.065710061517214,253.60281195140942,14093.024928799883,4.051063835952593,92.98771024098664,97.51066079544592,975.1618494888635,14.715385813362063,6.884589101258849,1.5272726081579715,61.976039411864015,3.238258309927446,57.8441683673159,6.761245223077214,1.5862495874523872,35.33966323807688,4.029935948265681,29.776785742238502,12.50019985278931
2006-11-01,1.3527560626951156,3.4599209085974185,1.1128987253165388,0.9938192037315324,644.0667518101561,8.895919750487895,23.029578965995654,5.460831162627036,0.7391562748975726,0.5431895796609564,9.023551511094059,239.34331396069882,13973.49880778849,4.0813710957971745,91.58970014407558,96.78659860963008,959.3436634100931,14.582952456475528,6.61374875937989,1.502501418201199,61.563367608245,3.1065298560824246,56.900961342576906,6.493323386674935,1.5617201666399871,34.57004020292142,3.92402658023809,29.416919874825275,11.832616723546849
2006-12-01,1.3279790850597537,3.435764778268357,1.1289726332269185,0.9715225411950542,644.5710141121012,8.73912326161627,22.260872892674698,5.323991935377089,0.7189619342555218,0.5269385910316113,9.002623318715736,229.2529194130901,13722.450031471375,3.9930758090545266,91.2851293091666,96.65181088320249,947.276141376498,14.480951265580659,6.41571619513166,1.4519179623610048,61.068619599539396,3.0234496876026236,55.82250870303649,6.295006181290205,1.543194533289111,33.970952771660805,3.846528605999317,29.1283184898979,11.444606758306495
2007-01-01,1.3328677343704005,3.412918064489406,1.1549413380426434,1.0104215260652998,660.3633979828588,8.666626065600507,22.532795997398257,5.446600573561185,0.7367522471757624,0.533008720346731,9.073488566761307,230.72433840321207,13637.576639919107,4.035585141911889,90.94303051915838,100.00703931862587,960.4347387015422,14.54282404575108,6.723277569862416,1.4460269270011332,60.273148538059345,3.122037109255581,55.46245332137652,6.480373058234221,1.5705505700888798,34.28421563227586,3.8086092238834066,29.500230984960194,11.6011834158754
2007-02-01,1.340289885734926,3.348705772403491,1.147523878969265,1.0114362401446246,667.1873561378229,8.588010935734989,22.782877685462182,5.387557777256116,0.7342990413125586,0.5345685829109451,9.256495170330062,227.43316721558602,13636.91033364117,4.062011287939635,90.35885883460236,100.9528772439979,959.3205919521383,14.651350493535954,6.544792335930502,1.453695051794607,59.99431830651664,3.1260710916241212,54.855859847841856,6.522456462815274,1.56322044482731,34.38167835428533,3.7320576405544115,29.726328214851392,11.690509202851741
2007-03-01,1.3315969348173078,3.3545318871626177,1.1462054923985745,1.0009783765426312,665.7290224874704,8.674746037785717,22.47971159629401,5.339759882584099,0.7267626264794192,0.5394879612570912,9.17178269958566,221.7008413048577,13840.859623670098,4.071732867485636,91.62426996000663,98.8827313285602,968.6959152878225,14.936773855345423,6.512276442880293,1.4538192014097024,60.710634432035704,3.0920398915325857,54.56197755145333,6.5334155413161215,1.5690786768718357,33.82982516246247,3.763547042399638,30.390218118008633,12.000414312990292
2007-04-01,1.2814348415658363,3.276442956187837,1.115079729705802,0.9908586779700772,658.562960204187,8.724851863214013,21.97987583438006,5.258743695033564,0.7120901473535814,0.5294227986501707,9.282712460125113,214.49568831499914,13863.191397005048,3.9513481083673776,87.59638929477185,100.5660770113072,958.6208905287817,14.863492563326256,6.405128257439188,1.3866891424002519,60.111762486759076,2.982963687194298,54.04302998143695,6.367663248520948,1.5570019893096678,33.529381591121506,3.6136589903414986,30.35984984906355,11.575463208916226
2007-05-01,1.2843100663666476,3.2056966647251093,1.0781419555155796,1.0026357081708215,645.7802823392507,8.692674977413548,22.21471518427748,5.280040763402515,0.7149961711852808,0.5330708803500496,9.33184032026555,216.1649775575285,13466.290482205113,3.908864207671972,84.61265812972074,102.44656237400285,959.8654844095519,14.805750773249411,6.458106358858021,1.3954602431850034,59.03014235282687,2.9567838203662546,53.983312149437026,6.393636059679185,1.5638034423141203,33.218689961596475,3.5598312921523068,30.589650341339983,11.429052119576651
2007-06-01,1.2571867532900232,3.1225803888118864,1.0527746599752559,1.0129466205687094,646.8174683341599,8.629149008847735,22.601836879207397,5.333225205792446,0.7205999247653734,0.5322750804917149,9.305773837235927,219.10284468420352,13791.631625954127,4.065241027108337,84.10841743494527,104.4655141938648,961.8471568816349,14.821711595895465,6.467518287797877,1.351123712854674,58.034367492238296,3.0050517882618517,53.8016021233286,6.525962301383659,1.5846404399773217,33.24937821142253,3.5326020674042704,30.16116809656612,11.63770961184838
2007-07-01,1.2154697476873815,3.0351235206436167,1.036927874081336,0.9983196800009643,631.0352546019259,8.490122241041423,21.823353482025926,5.235401948846633,0.7064916015532816,0.5221941166011729,9.273847338248284,211.1506663462781,13798.191176828788,4.089540901335319,82.08240984675918,103.66881198304624,948.582328404921,14.704196783420947,6.243964177602855,1.29578759422924,57.01398804014474,2.9177148476374666,52.56462389950551,6.289228277582019,1.5324414609959287,32.403427329217244,3.454399451070034,30.092800777553887,11.222182663021815
2007-08-01,1.264484670652356,3.14868567120725,1.0455966427397387,0.9925872400839415,626.8579030069332,8.369345741567079,21.506388246795964,5.275164300847584,0.7095340602317568,0.5255282967249764,9.239962577511248,219.60429292904576,14102.928429327907,4.029538128603537,82.13536823794618,98.82953882944561,962.9100016643214,14.942624602474515,6.3045777283336495,1.3912952247349675,57.413430915639786,2.9749361424922336,52.5730390920991,6.423092298304201,1.5292317292147752,32.99857463424614,3.5407596443348384,29.79196663292351,11.541877237794514
2007-09-01,1.2400248675152117,3.045200038303648,1.014095043110768,0.9779083631881076,614.3953973851063,8.310977507472657,21.023219697320375,5.155709949661417,0.6947891172329489,0.5244629694689108,9.216578358150446,213.03826095996212,13890.819379542692,3.9232093759074282,81.39084630145994,97.65062281868614,955.9403445699771,14.880077761300946,6.051885598462011,1.4134090119702531,57.53251951769893,2.886378366656797,51.71811648084206,6.22598170191907,1.5301998844590547,32.95552505121013,3.3648292043316657,29.629428749966163,11.329399744483558
2007-10-01,1.1641760429995425,2.8845921353554744,0.9691861780895757,0.9648931919891283,595.3837258900562,8.277733104601783,20.262622183046382,5.030460518218691,0.676718772518219,0.5168705776631105,9.05823474598945,204.55217460339543,13555.697486802666,3.8565096240599717,79.29338862774038,98.17545497354836,939.657998083656,14.580749056812463,5.803818789188859,1.331760379686552,55.36009546694276,2.744643166237802,50.08873764599305,5.988722839967033,1.4660838082589465,32.65015172713183,3.1426741724411933,28.694330809960135,10.686391049062365
2007-11-01,1.1681629033672505,2.8408058049167013,0.9642403641682394,0.9244399329526758,601.008745620176,8.183775232711945,19.131863943379052,4.8759255499504786,0.6560582451021945,0.5111947116331077,9.092138258644,200.95721310892716,13876.199657094763,3.7733931218584584,79.61295343500585,95.08655913511716,948.6489750000914,14.59684535419349,5.754306114320126,1.332850661897899,54.02182437848976,2.6236828789495235,48.933825242601,5.872600741927129,1.4441242183958625,32.441019922189575,3.081524693882411,28.838890253347145,10.611583142486483
2007-12-01,1.1973687870382184,2.8436878717676395,0.9985980701445536,0.9333552613201193,588.8263893816247,8.041299589673933,18.857901429466054,4.913866492445586,0.6581447829551497,0.5203094795126932,9.052470289309174,200.9064629494151,13819.229622455308,3.7356931295601212,79.56579802319153,95.71099001292606,957.4555262658098,14.505064649039106,5.788426219058087,1.3176404343194397,51.74611575038068,2.597487207313831,48.536824387047055,5.994216634312174,1.4550824458597231,32.21482672773389,3.0327937093892925,29.243634441357507,10.705343865163636
2008-01-01,1.1870365375590362,2.8238448029840812,1.0133589954967597,0.9089448716893008,570.1765392194826,7.850962651872014,18.058724111024077,4.8717586541844025,0.6570494045257436,0.5397451823519573,9.164077141463784,200.33013967605768,13708.894366739398,3.6068578088807457,79.82788024471189,92.44401854948613,970.0303076655706,14.600451779554264,5.7484066329251435,1.3150775073836123,50.282386020016425,2.5702646880749374,47.55095256275744,6.007583999689061,1.4296901064077727,31.63121543667954,3.023599992211548,29.51767454512807,10.933459972073184
